,instructor,quality,difficulty,take_again,timestamp,course_number,department,course_name,questions,%response,contributions,avg_response_time,enrolled,%instructor_response,%active,semester
125,David Gries ,3,3,Yes,"May 15th, 2017",2110, CS,CS 2110,1524,100,5754,4,590,74,57,FA19
126,David Gries ,3,3,Yes,"May 15th, 2017",2110, CS,CS 2110,2216,100,14115,1,667,99,69,SP20
127,David Gries ,3,3,Yes,"May 15th, 2017",2110, CS,CS 2110,2036,100,12742,6,662,90,61,SP18
128,David Gries ,4,3,Yes,"Apr 25th, 2017",2110, CS,CS 2110,2147,100,11442,3,721,91,58,SP19
129,David Gries ,4,3,Yes,"Apr 25th, 2017",2110, CS,CS 2110,1524,100,5754,4,590,74,57,FA19
130,David Gries ,4,3,Yes,"Apr 25th, 2017",2110, CS,CS 2110,2216,100,14115,1,667,99,69,SP20
131,David Gries ,4,3,Yes,"Apr 25th, 2017",2110, CS,CS 2110,2036,100,12742,6,662,90,61,SP18
132,David Gries ,1,4,No,"Apr 5th, 2017",2110, CS,CS 2110,2147,100,11442,3,721,91,58,SP19
133,David Gries ,1,4,No,"Apr 5th, 2017",2110, CS,CS 2110,1524,100,5754,4,590,74,57,FA19
134,David Gries ,1,4,No,"Apr 5th, 2017",2110, CS,CS 2110,2216,100,14115,1,667,99,69,SP20
135,David Gries ,1,4,No,"Apr 5th, 2017",2110, CS,CS 2110,2036,100,12742,6,662,90,61,SP18
136,David Gries ,5,2,Yes,"Dec 25th, 2016",2110, CS,CS 2110,2147,100,11442,3,721,91,58,SP19
137,David Gries ,5,2,Yes,"Dec 25th, 2016",2110, CS,CS 2110,1524,100,5754,4,590,74,57,FA19
138,David Gries ,5,2,Yes,"Dec 25th, 2016",2110, CS,CS 2110,2216,100,14115,1,667,99,69,SP20
139,David Gries ,5,2,Yes,"Dec 25th, 2016",2110, CS,CS 2110,2036,100,12742,6,662,90,61,SP18
140,David Gries ,5,4,Yes,"Dec 20th, 2016",2110, CS,CS 2110,2147,100,11442,3,721,91,58,SP19
141,David Gries ,5,4,Yes,"Dec 20th, 2016",2110, CS,CS 2110,1524,100,5754,4,590,74,57,FA19
142,David Gries ,5,4,Yes,"Dec 20th, 2016",2110, CS,CS 2110,2216,100,14115,1,667,99,69,SP20
143,David Gries ,5,4,Yes,"Dec 20th, 2016",2110, CS,CS 2110,2036,100,12742,6,662,90,61,SP18
144,David Gries ,5,3,Yes,"Nov 6th, 2016",2110, CS,CS 2110,2147,100,11442,3,721,91,58,SP19
145,David Gries ,5,3,Yes,"Nov 6th, 2016",2110, CS,CS 2110,1524,100,5754,4,590,74,57,FA19
146,David Gries ,5,3,Yes,"Nov 6th, 2016",2110, CS,CS 2110,2216,100,14115,1,667,99,69,SP20
147,David Gries ,5,3,Yes,"Nov 6th, 2016",2110, CS,CS 2110,2036,100,12742,6,662,90,61,SP18
148,Anne Bracy ,5,5,Yes,"Nov 26th, 2020",3410, CS,CS 3410,1167,100,4743,16,197,84,87,FA18
149,Anne Bracy ,1,4,No,"Feb 12th, 2020",3410, CS,CS 3410,1167,100,4743,16,197,84,87,FA18
150,Anne Bracy ,5,4,Yes,"Dec 9th, 2019",3410, CS,CS 3410,1167,100,4743,16,197,84,87,FA18
151,Anne Bracy ,5,4,Yes,"Dec 12th, 2018",3410, CS,CS 3410,1167,100,4743,16,197,84,87,FA18
152,Anne Bracy ,5,5,Yes,"Dec 10th, 2018",3410, CS,CS 3410,1167,100,4743,16,197,84,87,FA18
153,Anne Bracy ,5,4,Yes,"Nov 8th, 2018",3410, CS,CS 3410,1167,100,4743,16,197,84,87,FA18
154,Anne Bracy ,5,4,B+,"Feb 20th, 2018",3410, CS,CS 3410,1167,100,4743,16,197,84,87,FA18
155,Anne Bracy ,5,4,A,"Dec 9th, 2017",3410, CS,CS 3410,1167,100,4743,16,197,84,87,FA18
156,Anne Bracy ,5,5,Yes,"Dec 8th, 2017",3410, CS,CS 3410,1167,100,4743,16,197,84,87,FA18
157,Michael George ,1,5,No,"Dec 10th, 2020",2800, CS,CS 2800,1198,97,4700,20,419,85,60,SP19
158,Michael George ,1,5,No,"Dec 10th, 2020",2800, CS,CS 2800,1554,96,4808,37,396,85,72,SP20
159,Michael George ,1,5,No,"Dec 10th, 2020",2800, CS,CS 2800,1101,96,4073,17,424,78,66,FA19
160,Michael George ,1,5,No,"Dec 10th, 2020",2800, CS,CS 2800,1058,100,6008,9,417,77,63,FA18
161,Michael George ,4,3,Yes,"Dec 3rd, 2020",2800, CS,CS 2800,1198,97,4700,20,419,85,60,SP19
162,Michael George ,4,3,Yes,"Dec 3rd, 2020",2800, CS,CS 2800,1554,96,4808,37,396,85,72,SP20
163,Michael George ,4,3,Yes,"Dec 3rd, 2020",2800, CS,CS 2800,1101,96,4073,17,424,78,66,FA19
164,Michael George ,4,3,Yes,"Dec 3rd, 2020",2800, CS,CS 2800,1058,100,6008,9,417,77,63,FA18
165,Michael George ,4,4,Yes,"May 23rd, 2020",2800, CS,CS 2800,1198,97,4700,20,419,85,60,SP19
166,Michael George ,4,4,Yes,"May 23rd, 2020",2800, CS,CS 2800,1554,96,4808,37,396,85,72,SP20
167,Michael George ,4,4,Yes,"May 23rd, 2020",2800, CS,CS 2800,1101,96,4073,17,424,78,66,FA19
168,Michael George ,4,4,Yes,"May 23rd, 2020",2800, CS,CS 2800,1058,100,6008,9,417,77,63,FA18
169,Michael George ,5,4,Yes,"May 16th, 2020",2800, CS,CS 2800,1198,97,4700,20,419,85,60,SP19
170,Michael George ,5,4,Yes,"May 16th, 2020",2800, CS,CS 2800,1554,96,4808,37,396,85,72,SP20
